,Title,Cited
1053,A Toy Model of Universality: Reverse Engineering how Networks Learn Group Operations,15
244,Looped Transformers as Programmable Computers,15
1085,SinFusion: Training Diffusion Models on a Single Image or Video,15
631,One Transformer Fits All Distributions in Multi-Modal Diffusion at Scale,15
1706,Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the Machiavelli Benchmark,15
472,KDEformer: Accelerating Transformers via Kernel Density Estimation,15
1664,Model Ratatouille: Recycling Diverse Models for Out-of-Distribution Generalization,14
1791,Fast Inference from Transformers via Speculative Decoding,14
234,SinDDM: A Single Image Denoising Diffusion Model,14
1768,Interventional Causal Representation Learning,13
1713,Refining Generative Process with Discriminator Guidance in Score-based Diffusion Models,13
85,How Do Transformers Learn Topic Structure: Towards a Mechanistic Understanding,13
1104,Image Restoration with Mean-Reverting Stochastic Differential Equations,13
19,Fast Sampling of Diffusion Models via Operator Learning,13
1684,Resurrecting Recurrent Neural Networks for Long Sequences,13
1433,Neural Diffusion Processes,12
1312,Invariance in Policy Optimisation and Partial Identifiability in Reward Learning,12
1806,Multi-Epoch Matrix Factorization Mechanisms for Private Machine Learning,12
206,Linear Causal Disentanglement via Interventions,11
0,Bayesian Estimation of Differential Privacy,11
1570,Contrast with Reconstruct: Contrastive 3D Representation Learning Guided by Generative Pretraining,11
696,Protecting Language Generation Models via Invisible Watermarking,11
1627,A theory of continuous generative flow networks,11
1485,Better Training of GFlowNets with Local Credit and Incomplete Trajectories,11
1233,Meta Optimal Transport,10
1074,Intrinsic Sliced Wasserstein Distances for Comparing Collections of Probability Distributions on Manifolds and Graphs,10
989,Faster Rates of Convergence to Stationary Points in Differentially Private Optimization,10
1550,Improving the Model Consistency of Decentralized Federated Learning,10
784,Beyond Uniform Lipschitz Condition in Differentially Private Optimization,10
1734,Structure-informed Language Models Are Protein Designers,10
500,Minimax estimation of discontinuous optimal transport maps: The semi-discrete case,10
607,Tuning Computer Vision Models With Task Rewards,9
1638,CLUSTSEG: Clustering for Universal Segmentation,9
1824,"Efficient Self-supervised Learning with Contextualized Target Representations for Vision, Speech and Language",9
662,Convergence of Proximal Point and Extragradient-Based Methods Beyond Monotonicity: the Case of Negative Comonotonicity,9
589,Q-learning Decision Transformer: Leveraging Dynamic Programming for Conditional Sequence Modelling in Offline RL,9
1827,Cones: Concept Neurons in Diffusion Models for Customized Generation,9
1461,Sketching for First Order Method: Efficient Algorithm for Low-Bandwidth Channel and Vulnerability,8
740,Identifiability of Label Noise Transition Matrix,8
1445,Understanding Incremental Learning of Gradient Descent: A Fine-grained Analysis of Matrix Sensing,8
1222,Mechanistic Mode Connectivity,8
488,Deterministic equivalent and error universality of deep random features learning,8
1423,Poisoning Language Models During Instruction Tuning,8
179,Rethinking Backdoor Attacks,8
898,Automatically Auditing Large Language Models via Discrete Optimization,8
144,"Score Approximation, Estimation and Distribution Recovery of Diffusion Models on Low-Dimensional Data",8
241,Multisample Flow Matching: Straightening Flows with Minibatch Couplings,8
498,GNOT: A General Neural Operator Transformer for Operator Learning,7
1750,Equivariant Polynomials for Graph Neural Networks,7
826,EF21-P and Friends: Improved Theoretical Communication Complexity for Distributed Optimization with Bidirectional Compression,7
1719,Diffusion Models are Minimax Optimal Distribution Estimators,7
1714,Adversarial Example Does Good: Preventing Painting Imitation from Diffusion Models via Adversarial Examples,7
751,Change is Hard: A Closer Look at Subpopulation Shift,7
1088,"Generating Novel, Designable, and Diverse Protein Structures by Equivariantly Diffusing Oriented Residue Clouds",7
1640,GFlowNet-EM for Learning Compositional Latent Variable Models,7
1077,Discrete Key-Value Bottleneck,7
1091,Differentially Private Optimization on Large Model at Small Cost,7
1615,A Complete Expressiveness Hierarchy for Subgraph GNNs via Subgraph Weisfeiler-Lehman Tests,7
708,SWARM Parallelism: Training Large Models Can Be Surprisingly Communication-Efficient,7
1580,Sketching Meets Differential Privacy: Fast Algorithm for Dynamic Kronecker Projection Maintenance,7
651,Linkless Link Prediction via Relational Distillation,7
1177,DoG is SGD's Best Friend: A Parameter-Free Dynamic Step Size Schedule,7
1771,TRAK: Attributing Model Behavior at Scale,7
1353,Grounding Language Models to Images for Multimodal Inputs and Outputs,7
885,On Penalty-based Bilevel Gradient Descent Method,7
1819,AdaptDiffuser: Diffusion Models as Adaptive Self-evolving Planners,7
380,Simple Hardware-Efficient Long Convolutions for Sequence Modeling,6
786,SurCo: Learning Linear SURrogates for COmbinatorial Nonlinear Optimization Problems,6
1351,Analyzing Privacy Leakage in Machine Learning via Multiple Hypothesis Testing: A Lesson From Fano,6
1164,Neural Inverse Operators for Solving PDE Inverse Problems,6
957,PromptBoosting: Black-Box Text Classification with Ten Forward Passes,6
980,Second-order regression models exhibit progressive sharpening to the edge of stability,6
1496,Neural networks trained with SGD learn distributions of increasing complexity,6
887,Scaling Laws for Multilingual Neural Machine Translation,6
650,High-Probability Bounds for Stochastic Optimization and Variational Inequalities: the Case of Unbounded Variance,6
1556,Submodular Order Functions and Assortment Optimization,6
796,Understanding Oversquashing in GNNs through the Lens of Effective Resistance,6
484,Near-Optimal Cryptographic Hardness of Agnostically Learning Halfspaces and ReLU Regression under Gaussian Marginals,6
1737,GibbsDDRM: A Partially Collapsed Gibbs Sampler for Solving Blind Inverse Problems with Denoising Diffusion Restoration,6
666,Language Instructed Reinforcement Learning for Human-AI Coordination,6
938,Omnipredictors for Constrained Optimization,6
519,The Wisdom of Hindsight Makes Language Models Better Instruction Followers,6
522,Reflected Diffusion Models,6
1303,Bidirectional Learning for Offline Model-based Biological Sequence Design,6
1180,Generalizing Neural Wave Functions,6
1021,Geometric Latent Diffusion Models for 3D Molecule Generation,6
596,Geometric Clifford Algebra Networks,5
1616,"The SSL Interplay: Augmentations, Inductive Bias, and Generalization",5
1349,Improved Online Conformal Prediction via Strongly Adaptive Online Learning,5
278,Forget Unlearning: Towards True Data-Deletion in Machine Learning,5
978,Deep Graph Representation Learning and Optimization for Influence Maximization,5
827,Dropout Reduces Underfitting,5
251,Measuring the Impact of Programming Language Distribution,5
348,Invariant Slot Attention: Object Discovery with Slot-Centric Reference Frames,5
820,On the Convergence of Federated Averaging with Cyclic Client Participation,5
236,"Masked Trajectory Models for Prediction, Representation, and Control",5
256,Towards Bridging the Gaps between the Right to Explanation and the Right to be Forgotten,5
815,From Robustness to Privacy and Back,5
1072,Why Is Public Pretraining Necessary for Private Model Training?,5
546,A theory of representation learning gives a deep generalisation of kernel methods,5
984,Neural Algorithmic Reasoning with Causal Regularisation,5
902,Deep Regression Unlearning,5
1662,BiBench: Benchmarking and Analyzing Network Binarization,5
1709,Tighter Lower Bounds for Shuffling SGD: Random Permutations and Beyond,5
809,Minimizing Trajectory Curvature of ODE-based Generative Models,5
1820,Brauer's Group Equivariant Neural Networks,5
1333,HyperTuning: Toward Adapting Large Language Models without Back-propagation,5
1325,Why do Nearest Neighbor Language Models Work?,5
1698,Deja Vu: Contextual Sparsity for Efficient LLMs at Inference Time,5
208,Counterfactual Identifiability of Bijective Causal Models,5
1387,ModelDiff: A Framework for Comparing Learning Algorithms,5
647,Neural Status Registers,5
781,Decentralized Stochastic Bilevel Optimization with Improved per-Iteration Complexity,5
1146,Estimating the Contamination Factor's Distribution in Unsupervised Anomaly Detection,5
1617,Policy Mirror Ascent for Efficient and Independent Learning in Mean Field Games,5
1126,Beyond Reward: Offline Preference-guided Policy Optimization,5
586,Cross-Entropy Loss Functions: Theoretical Analysis and Applications,5
948,Model Transferability with Responsive Decision Subjects,5
947,Hindsight Learning for MDPs with Exogenous Inputs,5
297,A Modern Look at the Relationship between Sharpness and Generalization,5
1367,Normalizing Flows for Interventional Density Estimation,5
1365,Perturbation Analysis of Neural Collapse,5
1272,Computationally Efficient PAC RL in POMDPs with Latent Determinism and Conditional Embeddings,5
1354,Causal Proxy Models for Concept-based Model Explanations,5
1300,Sampling-based Nyström Approximation and Kernel Quadrature,5
834,PLay: Parametrically Conditioned Layout Generation using Latent Diffusion,5
1754,Data Feedback Loops: Model-driven Amplification of Dataset Biases,5
1374,Efficiently predicting high resolution mass spectra with graph neural networks,5
1106,Sequential Kernelized Independence Testing,5
1743,"Same Pre-training Loss, Better Downstream: Implicit Bias Matters for Language Models",5
1409,Improved Regret for Efficient Online Reinforcement Learning with Linear Function Approximation,4
1823,ProtST: Multi-Modality Learning of Protein Sequences and Biomedical Texts,4
101,Doubly Optimal No-Regret Learning in Monotone Games,4
623,Towards Coherent Image Inpainting Using Denoising Diffusion Implicit Models,4
1438,Rigid Body Flows for Sampling Molecular Crystal Structures,4
456,Achieving Linear Speedup in Non-IID Federated Bilevel Learning,4
579,Neural Collapse in Deep Linear Networks: From Balanced to Imbalanced Data,4
690,Self-supervised learning of Split Invariant Equivariant representations,4
1408,Federated Adversarial Learning: A Framework with Convergence Analysis,4
1785,Denoising MCMC for Accelerating Diffusion-Based Generative Models,4
532,Revisiting the Linear-Programming Framework for Offline RL with General Function Approximation,4
555,MolDiff: Addressing the Atom-Bond Inconsistency Problem in 3D Molecule Diffusion Generation,4
773,The Benefits of Mixup for Feature Learning,4
1218,CHiLS: Zero-Shot Image Classification with Hierarchical Label Sets,4
1475,Quantum Policy Gradient Algorithm with Optimized Action Decoding,4
59,Image Shortcut Squeezing: Countering Perturbative Availability Poisons with Compression,4
622,Chemically Transferable Generative Backmapping of Coarse-Grained Proteins,4
1532,The Ideal Continual Learner: An Agent That Never Forgets,4
1024,On the Forward Invariance of Neural ODEs,4
454,GeCoNeRF: Few-shot Neural Radiance Fields via Geometric Consistency,4
1450,ChiPFormer: Transferable Chip Placement via Offline Decision Transformer,4
1699,Reinforcement Learning from Passive Data via Latent Intentions,4
1487,Defects of Convolutional Decoder Networks in Frequency Representation,4
1740,Direct Parameterization of Lipschitz-Bounded Deep Networks,4
166,Equivariance with Learned Canonicalization Functions,4
895,B-Learner: Quasi-Oracle Bounds on Heterogeneous Causal Effects Under Hidden Confounding,4
822,Stochastic Policy Gradient Methods: Improved Sample Complexity for Fisher-non-degenerate Policies,4
1507,"Outline, Then Details: Syntactically Guided Coarse-To-Fine Code Generation",4
159,An SDE for Modeling SAM: Theory and Insights,4
459,Few-bit Backward: Quantized Gradients of Activation Functions for Memory Footprint Reduction,4
1248,Distributed Contextual Linear Bandits with Minimax Optimal Communication Cost,4
677,Towards Explaining Distribution Shifts,4
240,Text Generation with Diffusion Language Models: A Pre-training Approach with Continuous Paragraph Denoise,4
458,In Search for a Generalizable Method for Source Free Domain Adaptation,4
98,Feature learning in deep classifiers through Intermediate Neural Collapse,4
1586,Multi-View Masked World Models for Visual Robotic Manipulation,4
1093,Cocktail Party Attack: Breaking Aggregation-Based Privacy in Federated Learning Using Independent Component Analysis,4
1773,Equivariant Architectures for Learning in Deep Weight Spaces,4
1318,Understanding Self-Predictive Learning for Reinforcement Learning,4
1645,Answering Complex Logical Queries on Knowledge Graphs via Query Computation Tree Optimization,3
1426,A Closer Look at the Intervention Procedure of Concept Bottleneck Models,3
307,Exphormer: Sparse Transformers for Graphs,3
1567,Faster Gradient-Free Algorithms for Nonsmooth Nonconvex Stochastic Optimization,3
1287,WL meet VC,3
1611,Using Perturbation to Improve Goodness-of-Fit Tests based on Kernelized Stein Discrepancy,3
1082,Sequential Predictive Conformal Inference for Time Series,3
665,What Can Be Learnt With Wide Convolutional Neural Networks?,3
1066,PAC-Bayesian Offline Contextual Bandits With Guarantees,3
1191,Continual Learning in Linear Classification on Separable Data,3
926,Towards Understanding and Improving GFlowNet Training,3
918,SAM operates far from home: eigenvalue regularization as a dynamical phenomenon,3
1100,"Reasons for the Superiority of Stochastic Estimators over Deterministic Ones: Robustness, Consistency and Perceptual Quality",3
1581,Robust Perception through Equivariance,3
1122,Learning useful representations for shifting tasks and distributions,3
701,GFlowOut: Dropout with Generative Flow Networks,3
659,Bag of Tricks for Training Data Extraction from Language Models,3
1602,Controlled Text Generation with Natural Language Instructions,3
1094,The Numerical Stability of Hyperbolic Representation Learning,3
431,Uncertainty Estimation by Fisher Information-based Evidential Deep Learning,3
1298,Stochastic Gradient Descent under Markovian Sampling Schemes,3
1204,Refined Regret for Adversarial MDPs with Linear Function Approximation,3
1224,Adversarial Parameter Attack on Deep Neural Networks,3
1382,Enhancing Activity Prediction Models in Drug Discovery with the Ability to Understand Human Language,3
186,Statistical Indistinguishability of Learning Algorithms,3
798,"""Why did the Model Fail?"": Attributing Model Performance Changes to Distribution Shifts",3
1512,ESC: Exploration with Soft Commonsense Constraints for Zero-shot Object Navigation,3
131,Learning to Incentivize Information Acquisition: Proper Scoring Rules Meet Principal-Agent Model,3
810,Communication-Efficient Federated Hypergradient Computation via Aggregated Iterative Differentiation,3
1716,Sketch-Flip-Merge: Mergeable Sketches for Private Distinct Counting,3
557,Vector Quantized Wasserstein Auto-Encoder,3
132,High Probability Convergence of Stochastic Gradient Methods,3
15,On Enhancing Expressive Power via Compositions of Single Fixed-Size ReLU Network,3
1726,Multicalibration as Boosting for Regression,3
1474,Revisiting Discriminative vs. Generative Classifiers: Theory and Implications,3
1809,The Dormant Neuron Phenomenon in Deep Reinforcement Learning,3
976,Quantum Speedups for Zero-Sum Games via Improved Dynamic Gibbs Sampling,3
172,Extrapolative Controlled Sequence Generation via Iterative Refinement,3
858,Pre-computed memory or on-the-fly encoding? A hybrid approach to retrieval augmentation makes the most of your compute,3
969,Deep Latent State Space Models for Time-Series Generation,3
1762,Understanding Plasticity in Neural Networks,3
1763,Subsample Ridge Ensembles: Equivalences and Generalized Cross-Validation,3
854,Generative Adversarial Symmetry Discovery,3
1692,Graphically Structured Diffusion Models,3
1371,Tighter Bounds on the Expressivity of Transformer Encoders,3
128,Efficient Quantum Algorithms for Quantum Optimal Control,3
1217,Predictable MDP Abstraction for Unsupervised Model-Based RL,3
1537,Men Also Do Laundry: Multi-Attribute Bias Amplification,3
1039,Adversarial Cheap Talk,3
476,Input Perturbation Reduces Exposure Bias in Diffusion Models,3
1463,Optimal Goal-Reaching Reinforcement Learning via Quasimetric Learning,3
1659,Optimizing DDPM Sampling with Shortcut Fine-Tuning,3
1661,Searching Large Neighborhoods for Integer Linear Programs with Contrastive Learning,3
1213,Sharp Variance-Dependent Bounds in Reinforcement Learning: Best of Both Worlds in Stochastic and Deterministic Environments,3
1023,Improving Statistical Fidelity for Neural Image Compression with Implicit Local Likelihood Models,3
852,Constrained Decision Transformer for Offline Safe Reinforcement Learning,3
1668,Probabilistic Contrastive Learning Recovers the Correct Aleatoric Uncertainty of Ambiguous Inputs,3
1396,Progressive Purification for Instance-Dependent Partial Label Learning,3
1345,Approximately Optimal Core Shapes for Tensor Decompositions,3
513,Performative Reinforcement Learning,3
608,Leveraging Label Non-Uniformity for Node Classification in Graph Neural Networks,3
1331,A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,3
378,Coin Sampling: Gradient-Based Bayesian Inference without Learning Rates,2
1562,"Learning to acquire novel cognitive tasks with evolution, plasticity and meta-meta-learning",2
670,Conditional Graph Information Bottleneck for Molecular Relational Learning,2
582,Understanding Gradient Regularization in Deep Learning: Efficient Finite-Difference Computation and Implicit Bias,2
1156,Graph Neural Tangent Kernel: Convergence on Large Graphs,2
1483,"For Pre-Trained Vision Models in Motor Control, Not All Policy Learning Methods are Created Equal",2
1262,Multi-Environment Pretraining Enables Transfer to Action Limited Datasets,2
1481,Quantum Lower Bounds for Finding Stationary Points of Nonconvex Functions,2
1283,Differential Privacy has Bounded Impact on Fairness in Classification,2
661,Revisiting Gradient Clipping: Stochastic bias and tight convergence guarantees,2
1427,Regression with Label Permutation in Generalized Linear Model,2
1210,Regret Bounds for Markov Decision Processes with Recursive Optimized Certainty Equivalents,2
1202,Gradient Descent Monotonically Decreases the Sharpness of Gradient Flow Solutions in Scalar Networks and Beyond,2
342,Improved Techniques for Maximum Likelihood Estimation for Diffusion ODEs,2
1220,Optimistic Online Mirror Descent for Bridging Stochastic and Adversarial Online Convex Optimization,2
100,Unearthing InSights into Mars: Unsupervised Source Separation with Limited Data,2
641,A Picture of the Space of Typical Learnable Tasks,2
335,On the Relationship Between Explanation and Prediction: A Causal View,2
86,Subset-Based Instance Optimality in Private Estimation,2
1439,On the Power of Foundation Models,2
364,Variational Autoencoding Neural Operators,2
1244,Enforcing Hard Constraints with Soft Barriers: Safe Reinforcement Learning in Unknown Stochastic Environments,2
1207,One-Shot Federated Conformal Prediction,2
1278,Learning the Dynamics of Sparsely Observed Interacting Systems,2
1508,Two-Scale Gradient Descent Ascent Dynamics Finds Mixed Nash Equilibria of Continuous Games: A Mean-Field Perspective,2
371,Shortest Edit Path Crossover: A Theory-driven Solution to the Permutation Problem in Evolutionary Neural Architecture Search,2
591,Contrastive Energy Prediction for Exact Energy-Guided Diffusion Sampling in Offline Reinforcement Learning,2
1277,How Jellyfish Characterise Alternating Group Equivariant Neural Networks,2
880,Not All Semantics are Created Equal: Contrastive Self-supervised Learning with Automatic Temperature Individualization,2
64,Open-Vocabulary Universal Image Segmentation with MaskCLIP,2
1566,Robust Camera Pose Refinement for Multi-Resolution Hash Encoding,2
761,Lower Bounds for Learning in Revealing POMDPs,2
1667,Unifying Molecular and Textual Representations via Multi-task Language Modelling,2
1673,Taming graph kernels with random features,2
1019,Automated Search for Conjectures on Mathematical Constants using Analysis of Integer Sequences,2
448,On Coresets for Clustering in Small Dimensional Euclidean spaces,2
1680,Tractable Control for Autoregressive Language Generation,2
1011,Provably and Practically Efficient Neural Contextual Bandits,2
805,Atari-5: Distilling the Arcade Learning Environment down to Five Games,2
113,Hyperparameters in Reinforcement Learning and How To Tune Them,2
814,"System Identification of Neural Systems: If We Got It Right, Would We Know?",2
504,Retrosynthetic Planning with Dual Value Networks,2
830,Improving Medical Predictions by Irregular Multimodal Electronic Health Records Modeling,2
1380,Random Grid Neural Processes for Parametric Partial Differential Equations,2
464,A Framework for Adapting Offline Algorithms to Solve Combinatorial Multi-Armed Bandit Problems with Bandit Feedback,2
1341,Live in the Moment: Learning Dynamics Model Adapted to Evolving Policy,2
1760,Learning Mixtures of Markov Chains and MDPs,2
955,Nonparametric Density Estimation under Distribution Drift,2
921,Markovian Gaussian Process Variational Autoencoders,2
1772,On the Statistical Benefits of Temporal Difference Learning,2
1776,OCD: Learning to Overfit with Conditional Diffusion Models,2
1366,Stabilizing Transformer Training by Preventing Attention Entropy Collapse,2
856,RLSbench: Domain Adaptation Under Relaxed Label Shift,2
1779,Settling the Reward Hypothesis,2
141,Maximal Initial Learning Rates in Deep ReLU Networks,2
138,Stochastic Marginal Likelihood Gradients using Neural Tangent Kernels,2
1372,Learning Distributions over Quantum Measurement Outcomes,2
471,DoCoFL: Downlink Compression for Cross-Device Federated Learning,2
867,Learning Globally Smooth Functions on Manifolds,2
935,Run-off Election: Improved Provable Defense against Data Poisoning Attacks,2
126,Variational Sparse Inverse Cholesky Approximation for Latent Gaussian Processes via Double Kullback-Leibler Minimization,2
235,DRew: Dynamically Rewired Message Passing with Delay,2
776,Cyclic Block Coordinate Descent With Variance Reduction for Composite Nonconvex Optimization,2
888,Fairness in Matching under Uncertainty,2
1352,Fast Combinatorial Algorithms for Min Max Correlation Clustering,2
1081,Is Consensus Acceleration Possible in Decentralized Optimization over Slowly Time-Varying Networks?,2
1458,Generative Causal Representation Learning for Out-of-Distribution Motion Forecasting,2
715,Emergent Agentic Transformer from Chain of Hindsight Experience,2
1619,Personalized Subgraph Federated Learning,2
1618,High-dimensional Clustering onto Hamiltonian Cycle,2
283,Pareto Manifold Learning: Tackling multiple tasks via ensembles of single-task models,2
430,Robust and Scalable Bayesian Online Changepoint Detection,2
267,The Monge Gap: A Regularizer to Learn All Transport Maps,2
1116,Thompson Sampling with Diffusion Generative Prior,2
1415,CAB: Comprehensive Attention Benchmarking on Long Sequence Modeling,2
692,A Theoretical Analysis of the Learning Dynamics under Class Imbalance,2
685,Scalable Multi-Agent Reinforcement Learning through Intelligent Information Aggregation,2
1139,Modality-Agnostic Variational Compression of Implicit Neural Representations,2
1572,Bit Allocation using Optimization,2
268,Dirichlet Diffusion Score Model for Biological Sequence Generation,2
1042,Robust Collaborative Learning with Linear Gradient Overhead,2
742,LazyGNN: Large-Scale Graph Neural Networks via Lazy Propagation,2
436,"Dividing and Conquering a BlackBox to a Mixture of Interpretable Models: Route, Interpret, Repeat",2
1650,Learning Neural Constitutive Laws from Motion Observations for Generalizable PDE Dynamics,2
1055,PAC-Bayesian Generalization Bounds for Adversarial Generative Models,2
1361,Graph Mixup with Soft Alignments,2
1314,Gibbsian Polar Slice Sampling,2
531,Generating Language Corrections for Teaching Physical Control Tasks,1
1347,Understanding the Impact of Adversarial Robustness on Accuracy Disparity,1
570,Quantitative Universal Approximation Bounds for Deep Belief Networks,1
1269,Uncovering Adversarial Risks of Test-Time Adaptation,1
1324,Revisiting Weighted Aggregation in Federated Learning with Neural Networks,1
1327,Hardness of Independent Learning and Sparse Equilibrium Computation in Markov Games,1
534,Monotonicity and Double Descent in Uncertainty Estimation with Gaussian Processes,1
566,Compressed Decentralized Proximal Stochastic Gradient Method for Nonconvex Composite Problems with Heterogeneous Data,1
1344,Mitigating Memorization of Noisy Labels by Clipping the Model Prediction,1
1315,HarsanyiNet: Computing Accurate Shapley Values in a Single Forward Propagation,1
42,Internet Explorer: Targeted Representation Learning on the Open Web,1
543,Data Poisoning Attacks Against Multimodal Encoders,1
1339,Existence and Estimation of Critical Batch Size for Training Generative Adversarial Networks with Two Time-Scale Update Rule,1
564,A Reinforcement Learning Framework for Dynamic Mediation Analysis,1
1330,StriderNet: A Graph Reinforcement Learning Approach to Optimize Atomic Structures on Rough Energy Landscapes,1
1332,Banker Online Mirror Descent: A Universal Approach for Delayed Online Bandit Learning,1
1273,A Flexible Diffusion Model,1
78,Cut your Losses with Squentropy,1
505,Paging with Succinct Predictions,1
526,Constrained Monotonic Neural Networks,1
527,Attributing Image Generative Models using Latent Fingerprints,1
529,Robust Non-Linear Feedback Coding via Power-Constrained Deep Learning,1
1291,Quantized Distributed Training of Large Models with Convergence Guarantees,1
76,Oracles & Followers: Stackelberg Equilibria in Deep Multi-Agent Reinforcement Learning,1
914,Interpretable Neural-Symbolic Concept Reasoning,1
1264,Latent Traversals in Generative Models as Potential Flows,1
793,Effective Neural Topic Modeling with Embedding Clustering Regularization,1
971,Differentiable and Transportable Structure Learning,1
977,A Near-Optimal Algorithm for Safe Reinforcement Learning Under Instantaneous Hard Constraints,1
823,Lookahead When It Matters: Adaptive Non-causal Transformers for Streaming Neural Transducers,1
819,Brainformers: Trading Simplicity for Efficiency,1
813,Graph Reinforcement Learning for Network Control via Bi-Level Optimization,1
988,Sample Complexity of Probability Divergences under Group Symmetry,1
803,Online Learning in Stackelberg Games with an Omniscient Follower,1
991,Maximum Optimality Margin: A Unified Approach for Contextual Linear Programming and Inverse Linear Programming,1
1002,Fully Dynamic Submodular Maximization over Matroids,1
836,Sketched Ridgeless Linear Regression: The Role of Downsampling,1
1003,Counterfactual Analysis in Dynamic Latent State Models,1
788,Robustness in Multimodal Learning under Train-Test Modality Mismatch,1
785,Personalized Federated Learning under Mixture of Distributions,1
1012,Training Deep Surrogate Models with Large Scale Online Learning,1
1016,Distributed Linear Bandits under Communication Constraints,1
771,Online Platt Scaling with Calibeating,1
1026,Private Statistical Estimation of Many Quantiles,1
1030,UMD: Unsupervised Model Detection for X2X Backdoor Attacks,1
967,Formalizing Preferences Over Runtime Distributions,1
962,Abstracting Imperfect Information Away from Two-Player Zero-Sum Games,1
1034,Variational Open-Domain Question Answering,1
928,Gradient-Free Structured Pruning with Unlabeled Data,1
911,Estimating Causal Effects using a Multi-task Deep Ensemble,1
58,Bootstrap in High Dimension with Low Computation,1
913,Coordinate Descent Methods for Fractional Minimization,1
920,Likelihood Adjusted Semidefinite Programs for Clustering Heterogeneous Data,1
889,Competitive Gradient Optimization,1
886,Eventual Discounting Temporal Logic Counterfactual Experience Replay,1
924,Approximation Algorithms for Fair Range Clustering,1
925,Does Continual Learning Equally Forget All Parameters?,1
874,Inverse Reinforcement Learning without Reinforcement Learning,1
845,GREAD: Graph Neural Reaction-Diffusion Networks,1
932,Improving Fair Training under Correlation Shifts,1
870,When Sparsity Meets Contrastive Models: Less Graph Data Can Bring Better Class-Balanced Representations,1
937,Dataset Distillation with Convexified Implicit Gradients,1
