,Submission,Title,Cited
2166,3592,Seeing Beyond the Brain: Conditional Diffusion Model with Sparse Masked Modeling for Vision Decoding,20
468,3980,Habitat-Matterport 3D Semantics Dataset,20
563,2860,CDDFuse: Correlation-Driven Dual-Branch Feature Decomposition for Multi-Modality Image Fusion,19
1844,11999,Finetune like you pretrain: Improved finetuning of zero-shot vision models,19
1137,2884,CODA-Prompt: COntinual Decomposed Attention-based Prompting for Rehearsal-Free Continual Learning,19
1204,1193,"RenderDiffusion: Image Diffusion for 3D Reconstruction, Inpainting and Generation",19
44,961,Generating Holistic 3D Human Motion from Speech,19
668,1351,PLA: Language-Driven Open-Vocabulary 3D Scene Understanding,19
990,10671,On Data Scaling in Masked Image Modeling,18
1360,5996,ReCo: Region-Controlled Text-to-Image Generation,18
1462,773,Universal Instance Perception as Object Discovery and Retrieval,18
2002,7843,Next3D: Generative Neural Texture Rasterization for 3D-Aware Head Avatars,18
1148,5440,"Run, Don't Walk: Chasing Higher FLOPS for Faster Neural Networks",18
1244,2430,DiffPose: Toward More Reliable 3D Pose Estimation,18
419,170,DisCoScene: Spatially Disentangled Generative Radiance Fields for Controllable 3D-aware Scene Synthesis,18
999,6087,MAGVIT: Masked Generative Video Transformer,17
279,9783,Side Adapter Network for Open-Vocabulary Semantic Segmentation,17
1207,1038,Diffusion-SDF: Text-to-Shape via Voxelized Diffusion,16
2067,3650,VoxelNeXt: Fully Sparse VoxelNet for 3D Object Detection and Tracking,16
2078,6498,PointDistiller: Structured Knowledge Distillation Towards Efficient and Compact 3D Detection,16
864,4709,Panoptic Lifting for 3D Scene Understanding with Neural Fields,16
1557,12116,FedDM: Iterative Distribution Matching for Communication-Efficient Federated Learning,16
30,2746,High-fidelity 3D GAN Inversion by Pseudo-multi-view Optimization,16
396,2763,NoPe-NeRF: Optimising Neural Radiance Field with No Pose Prior,16
1830,8027,Language in a Bottle: Language Model Guided Concept Bottlenecks for Interpretable Image Classification,16
2184,2177,An Empirical Study of End-to-End Video-Language Transformers with Masked Visual Modeling,16
523,4686,ViP3D: End-to-end Visual Trajectory Prediction via 3D Agent Queries,15
1891,2088,Visual prompt tuning for generative transfer learning,15
32,10530,3D GAN Inversion with Facial Symmetry Prior,15
1050,11453,CLIPPO: Image-and-Language Understanding from Pixels Only,15
1761,5510,Video Probabilistic Diffusion Models in Projected Latent Space,15
1384,11441,FlexiViT: One Model for All Patch Sizes,15
255,7227,Uni-Perceiver v2: A Generalist Model for Large-Scale Vision and Vision-Language Tasks,15
1357,1426,GALIP: Generative Adversarial CLIPs for Text-to-Image Synthesis,15
628,1552,Learning Video Representations from Large Language Models,15
1325,9603,Recurrent Vision Transformers for Object Detection with Event Cameras,15
433,1082,3DAvatarGAN: Bridging Domains for Personalized Editable Avatars,14
578,7278,Parallel Diffusion Models of Operator and Image for Blind Inverse Problems,14
180,11613,Uncovering the Disentanglement Capability in Text-to-Image Diffusion Models,14
664,4787,"Filtering, Distillation, and Hard Negatives for Vision-Language Pre-Training",14
669,2564,CLIP2Scene: Towards Label-efficient 3D Scene Understanding by CLIP,14
1418,2317,Clover: Towards A Unified Video-Language Alignment and Fusion Model,14
1023,386,Vid2Seq: Large-Scale Pretraining of a Visual Language Model for Dense Video Captioning,14
1237,963,MIME: Human-Aware 3D Scene Generation,14
399,2496,SPARF: Neural Radiance Fields from Sparse and Noisy Poses,14
1869,3976,WinCLIP: Zero-/Few-Shot Anomaly Classification and Segmentation,14
624,1954,Fine-tuned CLIP Models are Efficient Video Learners,14
204,2102,MAGE: MAsked Generative Encoder to Unify Representation Learning and Image Synthesis,14
690,3274,Revisiting Weak-to-Strong Consistency in Semi-Supervised Semantic Segmentation,14
2008,1036,PointAvatar: Deformable Point-based Head Avatars from Videos,14
1541,5664,Don't Lie to Me! Robust and Efficient Explainability with Verified Perturbation Analysis,14
1025,2108,VindLU: A Recipe for Effective Video-and-Language Pretraining,13
1037,12114,From Images to Textual Prompts: Zero-shot Visual Question Answering with Frozen Large Language Models,13
1490,11971,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,13
866,2129,Multiview Compressive Coding for 3D Reconstruction,13
1816,8129,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,13
1341,2757,ShadowDiffusion: When Degradation Prior Meets Diffusion Model for Shadow Removal,13
382,8208,How to Backdoor Diffusion Models?,13
1791,5452,Temporal Attention Unit: Towards Efficient Spatiotemporal Predictive Learning,13
765,2143,Fake it till you make it: Learning transferable representations from synthetic ImageNet clones,13
1220,5390,CodeTalker: Speech-Driven 3D Facial Animation with Discrete Motion Prior,13
2210,4393,CoWs on Pasture: Baselines and Benchmarks for Language-Driven Zero-Shot Object Navigation,13
1562,9080,Can't Steal? Cont-Steal! Contrastive Stealing Attacks Against Image Encoders,13
2102,559,Camouflaged Object Detection with Feature Decomposition and Edge Reconstruction,13
181,12901,VectorFusion: Text-to-SVG by Abstracting Pixel-based Diffusion Models,13
503,1538,PiMAE: Point Cloud and Image Interactive Masked Autoencoders for 3D Object Detection,12
1198,8080,HumanGen: Generating Human Radiance Fields with Explicit Priors,12
1429,4022,Prompting Large Language Models with Answer Heuristics for Knowledge-based Visual Question Answering,12
1987,120,NeuralUDF: Learning Unsigned Distance Fields for Multi-view Reconstruction of Surfaces with Arbitrary Topologies,12
2151,1745,Diffusion Probabilistic Model Made Slim,12
1795,4311,SVFormer: Semi-supervised Video Transformer for Action Recognition,12
1945,192,SimpleNet: A Simple Network for Image Anomaly Detection and Localization,12
1829,10997,Image as a Foreign Language: BEiT Pretraining for Vision and Vision-Language Tasks,12
1744,2502,Efficient and Explicit Modelling of Image Hierarchies for Image Restoration,12
1147,12128,FFCV: Accelerating Training by Removing Data Bottlenecks,11
2070,1305,LaserMix for Semi-Supervised LiDAR Semantic Segmentation,11
1227,1072,Vid2Avatar: 3D Avatar Reconstruction from Videos in the Wild via Self-supervised Scene Decomposition,11
1851,10878,Open Vocabulary Semantic Segmentation with Patch Aligned Contrastive Learning,11
1235,955,ARCTIC: A Dataset for Dexterous Bimanual Hand-Object Manipulation,11
1766,4001,WIRE: Wavelet Implicit Neural Representations,11
351,5819,Computationally Budgeted Continual Learning: What Does Matter?,11
2103,3016,MOTRv2: Bootstrapping End-to-End Multi-Object Tracking by Pretrained Object Detectors,11
2162,9022,All are Worth Words: A ViT Backbone for Diffusion Models,11
789,5401,FreeNeRF: Improving Few-shot Neural Rendering with Free Frequency Regularization,11
1072,2265,Primitive Generation and Semantic-related Alignment for Universal Zero-Shot Segmentation,11
2024,8311,Decoupling Human and Camera Motion from Videos in the Wild,11
343,12093,A Data-Based Perspective on Transfer Learning,11
235,4337,Video-Text as Game Players: Hierarchical Banzhaf Interaction for Cross-Modal Representation Learning,11
435,5683,Instant Volumetric Head Avatars,11
1971,7886,SPIn-NeRF: Multiview Segmentation and Perceptual Inpainting with Neural Radiance Fields,10
1101,5141,Ambiguous Medical Image Segmentation using Diffusion Models,10
2229,3930,REVEAL: Retrieval-Augmented Visual-Language Pre-Training with Multi-Source Multimodal Knowledge Memory,10
1859,956,Semantic-Promoted Debiasing and Background Disambiguation for Zero-Shot Instance Segmentation,10
1578,2831,Progressively Optimized Local Radiance Fields for Robust View Synthesis,10
1758,9581,HOLODIFFUSION: Training a 3D Diffusion Model using 2D Images,10
2247,10429,Decomposed Soft Prompt Guided Fusion Enhancing for Compositional Zero-Shot Learning,10
898,5343,GD-MAE: Generative Decoder for MAE Pre-training on LiDAR Point Clouds,10
1,1648,Robust Dynamic Radiance Fields,10
1255,3060,Omni3D: A Large Benchmark and Model for 3D Object Detection in the Wild,10
278,2743,Learning Open-vocabulary Semantic Segmentation Models From Natural Language Supervision,10
909,3389,Visual Prompt Multi-Modal Tracking,10
840,409,MagicPony: Learning Articulated 3D Animals in the Wild,10
1841,7044,Pic2Word: Mapping Pictures to Words for Zero-shot Composed Image Retrieval,10
2143,700,SceneComposer: Any-Level Semantic Image Synthesis,10
974,10360,Wavelet Diffusion Models are fast and scalable Image Generators,10
827,6584,SadTalker: Learning Realistic 3D Motion Coefficients for Stylized Audio-Driven Single Image Talking Face Animation,10
1843,4147,Multimodality Helps Unimodality: Cross-Modal Few-Shot Learning with Multimodal Models,10
986,7052,BiFormer: Vision Transformer with Bi-Level Routing Attention,10
1516,3947,Towards All-in-one Pre-training via Maximizing Multi-modal Mutual Information,10
791,4460,Nerflets: Local Radiance Fields for Efficient Structure-Aware 3D Scene Representation from 2D Supervision,9
383,6938,TrojViT: Trojan Insertion in Vision Transformers,9
1760,5986,Conditional Image-to-Video Generation with Latent Flow Diffusion Models,9
48,443,ECON: Explicit Clothed humans Optimized via Normal integration,9
1813,116,Context De-confounded Emotion Recognition,9
1995,4531,SINE: Semantic-driven Image-based NeRF Editing with Prior-guided Editing Field,9
2064,1326,MSMDFusion: Fusing LiDAR and Camera at Multiple Scales with Multi-Depth Seeds for 3D Object Detection,9
1129,6727,Mod-Squad: Designing Mixtures of Experts As Modular Multi-Task Learners,9
1956,1781,T-SEA: Transfer-based Self-Ensemble Attack on Object Detection,9
1769,8034,Lite-Mono: A Lightweight CNN and Transformer Architecture for Self-Supervised Monocular Depth Estimation,9
1290,1995,DSVT: Dynamic Sparse Voxel Transformer with Rotated Sets,9
252,2565,Teaching Structured Vision & Language Concepts to Vision & Language Models,9
2168,1691,Stare at What You See: Masked Image Modeling without Reconstruction,9
2314,12504,Masked Autoencoders Enable Efficient Knowledge Distillers,9
262,6974,"CLIP for All Things Zero-Shot Sketch-Based Image Retrieval, Fine-Grained or Not",9
1780,624,PolyFormer: Referring Image Segmentation as Sequential Polygon Generation,9
269,9761,SmallCap: Lightweight Image Captioning Prompted with Retrieval Augmentation,9
631,8184,Bidirectional Cross-Modal Knowledge Exploration for Video Recognition with Pre-trained Vision-Language Models,9
1845,7927,DeepSolo: Let Transformer Decoder with Explicit Points Solo for Text Spotting,9
1710,4817,Standing Between Past and Future: Spatio-Temporal Modeling for Multi-Camera 3D Multi-Object Tracking,9
1614,9915,InstantAvatar: Learning Avatars from Monocular Video in 60 Seconds,9
2343,4552,Make Landscape Flatter in Differentially Private Federated Learning,9
448,914,3D Human Pose Estimation via Intuitive Physics,9
781,10640,Improving the Transferability of Adversarial Samples by Path-Augmented Method,9
1022,4167,Cap4Video: What Can Auxiliary Captions Do for Text-Video Retrieval?,9
2129,6689,Multi-Realism Image Compression with a Conditional Generator,9
1586,5615,UV Volumes for Real-time Rendering of Editable Free-view Human Performance,9
1445,2146,Learning Customized Visual Models with Retrieval-Augmented Knowledge,9
1700,105,You Only Segment Once: Towards Real-Time Panoptic Segmentation,9
1284,5857,ALSO: Automotive Lidar Self-supervision by Occupancy estimation,9
407,2158,DynIBaR: Neural Dynamic Image-Based Rendering,8
761,9741,Learning to Generate Image Embeddings with User-level Differential Privacy,8
257,5667,CRAFT: Concept Recursive Activation FacTorization for Explainability,8
2036,6021,SparsePose: Sparse-View Camera Pose Regression and Refinement,8
1825,620,Understanding and Improving Visual Prompting: A Label-Mapping Perspective,8
1274,851,Phase-Shifting Coder: Predicting Accurate Orientation in Oriented Object Detection,8
1092,8607,PROB: Probabilistic Objectness for Open World Object Detection,8
2217,4193,Position-guided Text Prompt for Vision-Language Pre-training,8
828,879,High-fidelity Clothed Avatar Reconstruction from a Single Image,8
1724,10924,MP-Former: Mask-Piloted Transformer for Image Segmentation,8
89,6807,vMAP: Vectorised Object Mapping for Neural Field SLAM,8
1088,6096,Detection Hub: Unifying Object Detection Datasets via Query Adaptation on Language Embedding,8
1725,5950,GradICON: Approximate Diffeomorphisms via Gradient Inverse Consistency,8
808,659,Neuralangelo: High-Fidelity Neural Surface Reconstruction,8
2141,9296,Referring Image Matting,8
973,719,DiffCollage: Parallel Generation of Large Content with Diffusion Models,8
1246,4657,Learning 3D-aware Image Synthesis with Unknown Pose Distribution,8
971,1779,LayoutDM: Discrete Diffusion Model for Controllable Layout Generation,8
879,6248,3D Concept Learning and Reasoning from Multi-View Images,8
1864,3196,Understanding Imbalanced Semantic Segmentation Through Neural Collapse,8
2250,1139,GRES: Generalized Referring Expression Segmentation,8
2073,3453,PartSLIP: Low-Shot Part Segmentation for 3D Point Clouds via Pretrained Image-Language Models,8
970,11850,Shifted Diffusion for Text-to-image Generation,8
131,4734,UniSim: A Neural Closed-Loop Sensor Simulator,8
969,7411,Inversion-based Style Transfer with Diffusion Models,8
1854,2098,"FreeSeg: Unified, Universal and Open-Vocabulary Image Segmentation",8
356,3474,Minimizing the Accumulated Trajectory Error to Improve Dataset Distillation,8
753,7815,Constructing Deep Spiking Neural Networks from Artificial Neural Networks with Knowledge Distillation,8
1460,5375,CLIP is Also an Efficient Segmenter: A Text-Driven Approach for Weakly Supervised Semantic Segmentation,8
1440,5212,Revisiting Multimodal Representation in Contrastive Learning: From Patch and Token embeddings to Finite Discrete Tokens,8
384,4920,TrojDiff: Trojan Attacks on Diffusion Models with Diverse Targets,8
211,6699,Rethinking Video ViTs: Sparse Video Tubes for Joint Image and Video Learning,8
1138,5220,EcoTTA: Memory-Efficient Continual Test-time Adaptation via Self-distilled Regularization,8
572,205,High-Fidelity Guided Image Synthesis with Latent Diffusion Models,8
1306,11738,Sliced optimal partial transport,8
671,7802,Open-vocabulary Attribute Detection,8
237,10103,Make-A-Story: Visual Memory Conditioned Consistent Story Generation,8
584,1448,A Dynamic Multi-Scale Voxel Flow Network for Video Prediction,8
1853,6444,Explicit Visual Prompting for Low-Level Structure Segmentations,8
1324,6503,MoDi: Unconditional Motion Synthesis from Diverse Data,8
400,5619,Interactive Segmentation of Radiance Fields,8
1356,6435,DATID-3D: Diversity-Preserved Domain Adaptation Using Text-to-Image Diffusion for 3D Generative Model,7
1695,5610,DKM: Dense Kernelized Feature Matching for Geometry Estimation,7
1141,1480,Accelerating Dataset Distillation via Model Augmentation,7
473,2466,"Spring: A High-Resolution High-Detail Dataset and Benchmark for Scene Flow, Optical Flow and Stereo",7
2157,6090,Neural Video Compression with Diverse Contexts,7
1585,3169,HyperReel: High-Fidelity 6-DoF Video with Ray-Conditioned Sampling,7
1234,72,NIKI: Neural Inverse Kinematics with Invertible Neural Networks for 3D Human Pose and Shape Estimation,7
784,12246,Revisiting Residual Networks for Adversarial Robustness,7
37,7998,A Hierarchical Representation Network for Accurate and Detailed Face Reconstruction from In-The-Wild Images,7
569,8171,Person Image Synthesis via Denoising Diffusion Model,7
299,10047,Hierarchical Fine-Grained Image Forgery Detection and Localization,7
790,5602,Local-to-Global Registration for Bundle-Adjusting Neural Radiance Fields,7
443,3952,Unsupervised volumetric animation,7
1577,8087,Removing Objects From Neural Radiance Fields,7
456,3089,GFPose: Learning 3D Human Pose Prior with Gradient Fields,7
1178,6247,Physically Adversarial Infrared Patches with Learnable Shapes and Locations,7
1136,98,DisWOT: Student Architecture Search for Distillation WithOut Training,7
390,4304,Exploring the Relationship between Architectural Design and Adversarially Robust Generalization,7
316,3295,Dynamic Graph Enhanced Contrastive Learning for Chest X-ray Report Generation,7
2347,12072,Architectural Backdoors in Neural Networks,7
1091,5082,Detecting Everything in the Open World: Towards Universal Object Detection,7
2207,9010,CVT-SLR: Contrastive Visual-Textual Transformation for Sign Language Recognition with Variational Alignment,7
357,3611,Slimmable Dataset Condensation,7
422,644,3D-aware Conditional Image Synthesis,7
562,506,Learning A Sparse Transformer Network for Effective Image Deraining,7
2200,8470,HierVL: Learning Hierarchical Video-Language Embeddings,7
1737,2717,Raw Image Reconstruction with Learned Compact Metadata,7
638,7072,NaQ: Leveraging Narrations as Queries to Supervise Episodic Memory,7
1396,3917,A Generalized Framework for Video Instance Segmentation,7
2353,6002,Towards Compositional Adversarial Robustness: Generalizing Adversarial Training to Composite Semantic Perturbations,7
652,5389,Hyperbolic Contrastive Learning for Visual Representations beyond Objects,7
264,10812,Cross-Modal Implicit Relation Reasoning and Aligning for Text-to-Image Person Retrieval,7
1007,209,Taming Diffusion Models for Audio-Driven Co-Speech Gesture Generation,7
704,1171,Exploring Incompatible Knowledge Transfer in Few-shot Image Generation,7
681,4833,PACO: Parts and Attributes of Common Objects,7
187,5230,Post-training Quantization on Diffusion Models,7
219,2112,Vision Transformers are Parameter-Efficient Audio-Visual Learners,7
1673,5460,Neural Map Prior for Autonomous Driving,7
1919,5123,Partial Network Cloning,7
957,134,Implicit Diffusion Models for Continuous Super-Resolution,7
1661,5876,ESLAM: Efficient Dense SLAM System Based on Hybrid Representation of Signed Distance Fields,7
1674,2825,Spherical Transformer for LiDAR-based 3D Recognition,7
1653,5757,DeepLSD: Line Segment Detection and Refinement with Deep Image Gradients,6
529,9854,Feature Shrinkage Pyramid for Camouflaged Object Detection with Transformers,6
1182,1390,SUDS: Scalable Urban Dynamic Scenes,6
1889,3138,Image Quality-aware Diagnosis via Meta-knowledge Co-embedding,6
675,3341,GAPartNet: Cross-Category Domain-Generalizable Object Perception and Manipulation via Generalizable and Actionable Parts,6
915,1024,PVO: Panoptic Visual Odometry,6
592,2800,Towards Efficient Use of Multi-Scale Features in Transformer-Based Object Detectors,6
650,10554,DeAR: Debiasing Vision-Language Models with Additive Residuals,6
699,1328,Dense Distinct Query for End-to-End Object Detection,6
755,2197,MobileOne: An Improved One Millisecond Mobile Backbone,6
246,694,Where is my Wallet? Modeling Object Proposal Sets for Egocentric Visual Query Localization,6
867,1020,Behind the Scenes: Density Fields for Single View Reconstruction,6
2331,885,PD-Quant: Post-Training Quantization Based on Prediction Difference Metric,6
1455,1147,Aligning Bag of Regions for Open-Vocabulary Object Detection,6
64,5047,SLOPER4D: A Scene-Aware Dataset for Global 4D Human Pose Estimation in Urban Environments,6
1313,4784,Trace and Pace: Controllable Pedestrian Animation via Guided Trajectory Diffusion,6
1170,7832,Backdoor Attacks Against Deep Image Compression via Adaptive Frequency Trigger,6
541,8535,Extracting Motion and Appearance via Inter-Frame Attention for Efficient Video Frame Interpolation,6
1832,1219,Learning Visual Representations via Language-Guided Sampling,6
848,8702,PoseFormerV2: Exploring Frequency Domain for Efficient and Robust 3D Human Pose Estimation,6
2336,129,Towards Universal Fake Image Detectors that Generalize Across Generative Models,6
1311,482,Open-World Multi-Task Control Through Goal-Aware Representation Learning and Adaptive Horizon Prediction,6
1690,3492,Unsupervised Inference of Signed Distance Functions from Single Sparse Point Clouds without Learning Priors,6
1707,3969,PIRLNav: Pretraining with Imitation and RL Finetuning for ObjectNav,6
216,489,Look Before You Match: Instance Understanding Matters in Video Object Segmentation,6
708,1213,Label-Free Liver Tumor Segmentation,6
1163,5089,DynaFed: Tackling Client Data Heterogeneity with Global Dynamics,6
1635,3237,Ego-Body Pose Estimation via Ego-Head Pose Estimation,6
874,2010,MVImgNet: A Large-scale Dataset of Multi-view Images,6
1439,5825,What Can Human Sketches Do for Object Detection?,6
1040,2643,Task Residual for Tuning Vision-Language Models,6
350,5827,TinyMIM: An Empirical Study of Distilling MIM Pre-trained Models,6
2020,3413,FLEX: Full-Body Grasping Without Full-Body Grasps,6
374,4286,Federated Incremental Semantic Segmentation,6
2310,7033,PIVOT: Prompting for Video Continual Learning,6
135,9896,Neural Volumetric Memory for Visual Locomotion Control,6
113,9743,FlatFormer: Flattened Window Attention for Efficient Point Cloud Transformer,6
1085,8568,Class-Incremental Exemplar Compression for Class-Incremental Learning,6
644,4855,Visual-Language Prompt Tuning with Knowledge-guided Context Optimization,6
2238,5297,ConZIC: Controllable Zero-shot Image Captioning by Sampling-Based Polishing,6
266,3495,Texts as Images in Prompt Tuning for Multi-Label Image Recognition,6
800,8120,Neural Fields meet Explicit Geometric Representations for Inverse Rendering of Urban Scenes,6
553,5072,Spectral Enhanced Rectangle Transformer for Hyperspectral Image Denoising,6
1862,9767,PIDNet: A Real-time Semantic Segmentation Network Inspired by PID Controllers,6
112,8669,Open-Vocabulary Point-Cloud Object Detection without 3D Annotation,6
197,2760,N-Gram in Swin Transformers for Efficient Lightweight Image Super-Resolution,6
883,7851,Collaboration Helps Camera Overtake LiDAR in 3D Detection,6
949,5555,Generative Diffusion Prior for Unified Image Restoration and Enhancement,6
293,1740,Token Contrast for Weakly-Supervised Semantic Segmentation,6
292,2053,Continual Semantic Segmentation with Automatic Memory Sample Selection,6
1374,7083,Learned Image Compression with Mixed Transformer-CNN Architectures,6
271,12064,Prefix Conditioning Unifies Language and Label Supervision,6
1399,10744,Seeing What You Said: Talking Face Generation Guided by a Lip Reading Expert,6
1367,3554,Shape-aware Text-driven Layered Video Editing,6
1214,7228,DCFace: Synthetic Face Generation with Dual Condition Diffusion Model,6
1691,4834,Towards Better Gradient Consistency for Neural Signed Distance Functions via Level Set Alignment,6
317,8575,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,6
258,725,Doubly Right Object Recognition: A Why Prompt for Visual Rationales,6
1363,5946,Toward verifiable and reproducible human evaluation for text-to-image generation,6
888,4655,ConQueR: Query Contrast Voxel-DETR for 3D Object Detection,6
1391,3107,SeqTrack: Sequence to Sequence Learning for Visual Object Tracking,6
2100,4445,PyPose: A Library for Robot Learning with Physics-based Optimization,6
2003,12036,Learning Neural Parametric Head Models,6
472,9733,Learning to Render Novel Views from Wide-Baseline Stereo Pairs,6
792,2453,NeRF-DS: Neural Radiance Fields for Dynamic Specular Objects,6
1556,7091,Rethinking Federated Learning with Domain Shift: A Prototype View,6
1063,9093,Region-Aware Pretraining for Open-Vocabulary Object Detection with Vision Transformers,6
2243,8051,OvarNet: Towards Open-vocabulary Object Attribute Recognition,6
74,3985,Learning 3D Scene Priors with 2D Supervision,5
1665,1786,Anchor3DLane: Learning to Regress 3D Anchors for Monocular 3D Lane Detection,5
1280,902,Learning and Aggregating Lane Graphs for Urban Automated Driving,5
1016,2617,Re2TAL: Rewiring Pretrained Video Backbones for Reversible Temporal Action Localization,5
551,2742,Curricular Contrastive Regularization for Physics-aware Single Image Dehazing,5
1876,793,CAT: LoCalization and IdentificAtion Cascade Detection Transformer for Open-World Object Detection,5
1983,2231,SunStage: Portrait Reconstruction and Relighting using the Sun as a Light Stage,5
846,2627,TRACE: 5D Temporal Regression of Avatars with Dynamic Cameras in 3D Environments,5
