,Submission,Title,Cited
4256,4256,Zero-Shot Image Restoration Using Denoising Diffusion Null-Space Model,53
1860,1860,Multimodal Masked Autoencoders Learn Transferable Representations,53
4086,4086,Language Models Can See: Plugging Visual Controls in Text Generation,53
1410,1410,Diffusion Policies as an Expressive Policy Class for Offline Reinforcement Learning,52
509,509,Diffusion-GAN: Training GANs with Diffusion,51
1834,1834,Flow Straight and Fast: Learning to Generate and Transfer Data with Rectified Flow,51
3727,3727,Towards the Generalization of Contrastive Self-Supervised Learning,51
3325,3325,Dual Diffusion Implicit Bridges for Image-to-Image Translation,51
4942,4942,Protein structure generation via folding diffusion,51
3767,3767,Mass-Editing Memory in a Transformer,51
4838,4838,KNN-Diffusion: Image Generation via Large-Scale Retrieval,51
2397,2397,Open-Vocabulary Semantic Segmentation with Mask-adapted CLIP,51
688,688,Binding Language Models in Symbolic Languages,50
4905,4905,MaPLe: Multi-modal Prompt Learning,50
4700,4700,PEER: A Collaborative Language Model,49
908,908,Sampling is as easy as learning the score: theory for diffusion models with minimal data assumptions,49
641,641,"When and why Vision-Language Models behave like Bags-of-Words, and what to do about it?",48
2654,2654,More ConvNets in the 2020s: Scaling up Kernels Beyond 51x51 using Sparsity,48
1998,1998,Flow Matching for Generative Modeling,47
3757,3757,Node-Level Membership Inference Attacks Against Graph Neural Networks,47
3495,3495,Sign and Basis Invariant Networks for Spectral Graph Representation Learning,47
2098,2098,Interpretability in the Wild: a Circuit for Indirect Object Identification in GPT-2 Small,46
4727,4727,Token Merging: Your ViT But Faster,46
4925,4925,Surgical Fine-Tuning Improves Adaptation to Distribution Shifts,45
893,893,Soft Diffusion: Score Matching For General Corruptions,45
4278,4278,The KFIoU Loss for Rotated Object Detection,45
2713,2713,Prompting GPT-3 To Be Reliable,45
2695,2695,Compositional Semantic Parsing with Large Language Models,44
3307,3307,Visual Classification via Description from Large Language Models,43
2497,2497,MaskViT: Masked Visual Pre-Training for Video Prediction,43
1387,1387,Internet-augmented language models through few-shot prompting for open-domain question answering,43
2247,2247,Re-Imagen: Retrieval-Augmented Text-to-Image Generator,42
4252,4252,Diffusion Models Already Have A Semantic Latent Space,42
1149,1149,Branch-Train-Merge: Embarrassingly Parallel Training of Expert Language Models,42
4754,4754,Unified Vision and Language Prompt Learning,42
4524,4524,Structure-based Drug Design with Equivariant Diffusion Models,41
691,691,Time Will Tell: New Outlooks and A Baseline for Temporal Multi-View 3D Object Detection,41
2935,2935,Siamese Image Modeling for Self-Supervised Vision Representation Learning,41
4233,4233,Universal Speech Enhancement with Score-based Diffusion,40
3889,3889,Revealing Single Frame Bias for Video-and-Language Learning,39
4007,4007,Mega: Moving Average Equipped Gated Attention,39
542,542,Diffusion-based Image Translation using disentangled style and content representation,39
2516,2516,Discovering Latent Knowledge in Language Models Without Supervision,39
3103,3103,Generative Modelling with Inverse Heat Dissipation,39
4364,4364,Neural Prompt Search,39
4075,4075,Domain-Adjusted Regression or: ERM May Already Learn Features Sufficient for Out-of-Distribution Generalization,38
1215,1215,(Certified!!) Adversarial Robustness for Free!,37
871,871,On the duality between contrastive and non-contrastive self-supervised learning,37
2223,2223,FreeMatch: Self-adaptive Thresholding for Semi-supervised Learning,37
2484,2484,Counterfactual Memorization in Neural Language Models,36
1440,1440,In-context Reinforcement Learning with Algorithm Distillation,36
4493,4493,Equiformer: Equivariant Graph Attention Transformer for 3D Atomistic Graphs,36
218,218,Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,36
539,539,Teaching Algorithmic Reasoning via In-context Learning,36
4483,4483,Multi-lingual Evaluation of Code Generation Models,36
4136,4136,TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis,36
2256,2256,Progress measures for grokking via mechanistic interpretability,35
616,616,Building Normalizing Flows with Stochastic Interpolants,35
3935,3935,Formal Mathematics Statement Curriculum Learning,35
4410,4410,Dynamic Prompt Learning via Policy Gradient for Semi-structured Mathematical Reasoning,35
2816,2816,Pre-training via Denoising for Molecular Property Prediction,34
4668,4668,VectorMapNet: End-to-end Vectorized HD Map Learning,34
1306,1306,Generating Sequences by Learning to Self-Correct,34
4768,4768,Self-conditioned Embedding Diffusion for Text Generation,34
695,695,Unveiling Transformers with LEGO: A Synthetic Reasoning Task,34
4646,4646,EVA3D: Compositional 3D Human Generation from 2D Image Collections,34
3577,3577,Emergent world representations: Exploring a sequence model trained on a synthetic task,34
3392,3392,What does a platypus look like? Generating customized prompts for zero-shot image classification,33
4414,4414,MixMIM: Mixed and Masked Image Modeling for Efficient Visual Representation Learning,33
3160,3160,ETSformer: Exponential Smoothing Transformers for Time-series Forecasting,33
680,680,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,33
4725,4725,NICO++: Towards Better Benchmarking for Domain Generalization,32
2735,2735,Jump-Start Reinforcement Learning,32
2312,2312,Simplified State Space Layers for Sequence Modeling,32
323,323,Editing models with task arithmetic,32
4518,4518,TabPFN: A Transformer That Solves Small Tabular Classification Problems in a Second,32
2089,2089,Forces are not Enough: Benchmark and Critical Evaluation for Machine Learning Force Fields with Molecular Simulations,32
3322,3322,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,32
4846,4846,MapTR: Structured Modeling and Learning for Online Vectorized HD Map Construction,32
1390,1390,Bridging the Gap to Real-World Object-Centric Learning,32
735,735,gDDIM: Generalized denoising diffusion implicit models,32
2936,2936,Equivariant 3D-Conditional Diffusion Models for Molecular Linker Design,31
362,362,Architecture Matters in Continual Learning,31
3429,3429,Convolutions are competitive with transformers for protein sequence pretraining,31
2407,2407,BigVGAN: A Universal Neural Vocoder with Large-Scale Training,31
2986,2986,Blurring Diffusion Models,31
1354,1354,Transformers Learn Shortcuts to Automata,30
4609,4609,Spikformer: When Spiking Neural Network Meets Transformer,30
2680,2680,"Draft, Sketch, and Prove: Guiding Formal Theorem Provers with Informal Proofs",29
2352,2352,Post-hoc Concept Bottleneck Models,29
1071,1071,Pseudoinverse-Guided Diffusion Models for Inverse Problems,29
2493,2493,Measuring Forgetting of Memorized Training Examples,29
615,615,BiAdam: Fast Adaptive Bilevel Optimization Methods,29
1538,1538,MILAN: Masked Image Pretraining on Language Assisted Representation,29
1028,1028,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,29
4936,4936,Molecular Geometry Pretraining with SE(3)-Invariant Denoising Distance Matching,29
2086,2086,ROSCOE: A Suite of Metrics for Scoring Step-by-Step Reasoning,28
4279,4279,Crossformer: Transformer Utilizing Cross-Dimension Dependency for Multivariate Time Series Forecasting,28
3385,3385,Early Stopping for Deep Image Prior,28
2369,2369,Self-Stabilization: The Implicit Bias of Gradient Descent at the Edge of Stability,28
887,887,Reward Design with Language Models,27
447,447,Linearly Mapping from Image to Text Space,27
3338,3338,Distilling Model Failures as Directions in Latent Space,27
2113,2113,Offline RL for Natural Language Generation with Implicit Language Q Learning,27
2968,2968,Lossy Compression with Gaussian Diffusion,26
1497,1497,Imitating Human Behaviour with Diffusion Models,26
1122,1122,Long Range Language Modeling via Gated State Spaces,26
4779,4779,Neural Networks and the Chomsky Hierarchy,25
4681,4681,One Transformer Can Understand Both 2D & 3D Molecular Data,25
3570,3570,Clifford Neural Layers for PDE Modeling,25
4194,4194,"Unifying Diffusion Models' Latent Space, with Applications to CycleDiffusion and Guidance",25
1913,1913,Mind's Eye: Grounded Language Model Reasoning through Simulation,24
3,3,Factorized Fourier Neural Operators,24
3300,3300,From Play to Policy: Conditional Behavior Generation from Uncurated Robot Data,24
3440,3440,SlotFormer: Unsupervised Visual Dynamics Simulation with Object-Centric Models,24
4680,4680,Rethinking the Expressive Power of GNNs via Graph Biconnectivity,24
4357,4357,Prompt Learning with Optimal Transport for Vision-Language Models,23
4585,4585,Towards Stable Test-time Adaptation in Dynamic Wild World,23
4691,4691,Learning to Compose Soft Prompts for Compositional Zero-Shot Learning,23
2616,2616,Visual Prompt Tuning For Test-time Domain Adaptation,23
1109,1109,Agree to Disagree: Diversity through Disagreement for Better Transferability,23
224,224,Leveraging Large Language Models for Multiple Choice Question Answering,23
2381,2381,Revisiting the Assumption of Latent Separability for Backdoor Defenses,23
1839,1839,Language Models are Realistic Tabular Data Generators,22
3858,3858,Can CNNs Be More Robust Than Transformers?,22
881,881,Recitation-Augmented Language Models,22
529,529,Differentially Private Diffusion Models,22
4224,4224,Accurate Image Restoration with Attention Retractable Transformer,22
3376,3376,Local Stochastic Bilevel Optimization with Momentum-Based Variance Reduction,22
3610,3610,TabDDPM: Modelling Tabular Data with Diffusion Models,22
3938,3938,ID and OOD Performance Are Sometimes Inversely Correlated on Real-world Datasets,22
2164,2164,DocPrompting: Generating Code by Retrieving the Docs,22
3136,3136,Unleashing Vanilla Vision Transformer with Masked Image Modeling for Object Detection,22
4890,4890,CLIP2Point: Transfer CLIP to Point Cloud Classification with Image-Depth Pre-training,22
781,781,Membership Inference Attacks Against Text-to-image Generation Models,21
2542,2542,"A Unified Approach to Reinforcement Learning, Quantal Response Equilibria, and Two-Player Zero-Sum Games",21
3523,3523,DM-NeRF: 3D Scene Geometry Decomposition and Manipulation from 2D Images,21
1932,1932,UNDERSTANDING PURE CLIP GUIDANCE FOR VOXEL GRID NERF MODELS,21
981,981,SGD with large step sizes learns sparse features,21
4420,4420,Mine yOur owN Anatomy: Revisiting Medical Image Segmentation with Extremely Limited Labels,21
320,320,What Makes Convolutional Models Great on Long Sequence Modeling?,21
678,678,BertNet: Harvesting Knowledge Graphs from Pretrained Language Models,21
2269,2269,PiFold: Toward effective and efficient protein inverse folding,21
1337,1337,Towards Multi-spatiotemporal-scale Generalized PDE Modeling,21
2802,2802,TranSpeech: Speech-to-Speech Translation With Bilateral Perturbation,21
2948,2948,UniFormerV2: Spatiotemporal Learning by Arming Image ViTs with Video UniFormer,21
4225,4225,Adan: Adaptive Nesterov Momentum Algorithm for Faster Optimizing Deep Models,21
4868,4868,Learning GFlowNets from partial episodes for improved convergence and stability,21
4648,4648,Nearly Minimax Optimal Offline Reinforcement Learning with Linear Function Approximation: Single-Agent MDP and Markov Game,20
2120,2120,Approximating How Single Head Attention Learns,20
3762,3762,Masked Image Modeling with Denoising Contrast,20
2520,2520,Diffusion Adversarial Representation Learning for Self-supervised Vessel Segmentation,20
4652,4652,Voxurf: Voxel-based Efficient and Accurate Neural Surface Reconstruction,20
2938,2938,Language Modelling with Pixels,20
3507,3507,Flow Annealed Importance Sampling Bootstrap,20
3747,3747,Re-parameterizing Your Optimizers rather than Architectures,20
3362,3362,Learning by Distilling Context,20
3558,3558,Conditional Antibody Design as 3D Equivariant Graph Translation,20
890,890,Contrastive Audio-Visual Masked Autoencoder,19
2877,2877,Automatic Clipping: Differentially Private Deep Learning Made Easier and Stronger,19
4321,4321,Multi-skill Mobile Manipulation for Object Rearrangement,19
3860,3860,Decoupled Mixup for Data-efficient Learning,19
1730,1730,Understanding the Generalization of Adam in Learning Neural Networks with Proper Regularization,19
4303,4303,Linear Connectivity Reveals Generalization Strategies,19
1310,1310,Repository-Level Prompt Generation for Large Language Models of Code,19
4082,4082,Global Context Vision Transformers,19
1855,1855,Unsupervised Semantic Segmentation with Self-supervised Object-centric Representations,19
1134,1134,Transfer Learning with Deep Tabular Models,18
3304,3304,SCALE-UP: An Efficient Black-box Input-level Backdoor Detection via Analyzing Scaled Prediction Consistency,18
3945,3945,Bootstrap Motion Forecasting With Self-Consistent Constraints,18
3837,3837,Distributionally Robust Model-Based Offline Reinforcement Learning with Near-Optimal Sample Complexity,18
1245,1245,On the Expressive Power of Geometric Graph Neural Networks,18
531,531,Broken Neural Scaling Laws,18
152,152,Mole-BERT: Rethinking Pre-training Graph Neural Networks for Molecules,18
1370,1370,Active Learning at the ImageNet Scale,18
575,575,Instruction-Following Agents with Jointly Pre-Trained Vision-Language Models,18
1267,1267,ImageNet-X: Understanding Model Mistakes with Factor of Variation Annotations,18
4169,4169,Autoencoders as Cross-Modal Teachers: Can Pretrained 2D Image Transformers Help 3D Representation Learning?,18
1051,1051,3D Equivariant Diffusion for Target-Aware Molecule Generation and Affinity Prediction,17
4409,4409,Masked Frequency Modeling for Self-Supervised Visual Pre-Training,17
677,677,Cramming: Training a language model on a single GPU in one day,17
3488,3488,Hybrid RL: Using both offline and online data can make RL efficient,17
3181,3181,Learning to Learn with Generative Models of Neural Network Checkpoints,17
3794,3794,Statistical Efficiency of Score Matching: The View from Isoperimetry,17
3428,3428,Masked inverse folding with sequence transfer for protein representation learning,17
1338,1338,PAC Reinforcement Learning for Predictive State Representations,17
4262,4262,Dataset Pruning: Reducing Training Data by Examining Generalization Influence,17
2839,2839,"Reduce, Reuse, Recycle: Compositional Generation with Energy-Based Diffusion Models and MCMC",17
841,841,RankMe: Assessing the Downstream Performance of Pretrained Self-Supervised Representations by Their Rank,17
3618,3618,Understanding Masked Image Modeling via Learning Occlusion Invariant Feature,17
1320,1320,Understanding DDPM Latent Codes Through Optimal Transport,17
4480,4480,MixPath: A Unified Approach for One-shot Neural Architecture Search,17
3709,3709,Adaptive Budget Allocation for Parameter-Efficient Fine-Tuning,16
2973,2973,Where to Go Next for Recommender Systems? ID- vs. Modality-based recommender models revisited,16
3183,3183,SpeechLM: Enhanced Speech Pre-Training with Unpaired Textual Data,16
3900,3900,Limitations of the NTK for Understanding Generalization in Deep Learning,16
1506,1506,Analyzing Transformers in Embedding Space,16
4198,4198,Neural Optimal Transport with General Cost Functionals,16
1471,1471,Towards the Detection of Diffusion Model Deepfakes,16
4692,4692,SQA3D: Situated Question Answering in 3D Scenes,16
3194,3194,FedDM: Iterative Distribution Matching for Communication-Efficient Federated Learning,16
1120,1120,Adversarial Policies Beat Professional-Level Go AIs,16
4915,4915,Group DETR: Fast DETR Training with Group-Wise One-to-Many Assignment,16
2910,2910,Relative representations enable zero-shot latent space communication,16
2859,2859,An Evolutionary Approach to Dynamic Introduction of Tasks in Large-scale Multitask Learning Systems,16
2682,2682,Liquid Structural State-Space Models,16
4151,4151,Downstream Datasets Make Surprisingly Good Pretraining Corpora,16
3918,3918,NeRF-SOS: Any-View Self-supervised Object Segmentation on Complex Scenes,16
4778,4778,GFlowNets and variational inference,16
4661,4661,ManiSkill2: A Unified Benchmark for Generalizable Manipulation Skills,16
3225,3225,MICN: Multi-scale Local and Global Context Modeling for Long-term Series Forecasting,16
3752,3752,Boosting Discriminative Visual Representation Learning with Scenario-Agnostic Mixup,15
2758,2758,MEDICAL IMAGE UNDERSTANDING WITH PRETRAINED VISION LANGUAGE MODELS: A COMPREHENSIVE STUDY,15
833,833,Dichotomy of Control: Separating What You Can Control from What You Cannot,15
4707,4707,ISS: Image as Stepping Stone for Text-Guided 3D Shape Generation,15
3463,3463,When does Bias Transfer in Transfer Learning?,15
1406,1406,Learning to Induce Causal Structure,15
3923,3923,Private Federated Learning Without a Trusted Server: Optimal Algorithms for Convex Losses,15
4829,4829,The Biased Artist: Exploiting Cultural Biases via Homoglyphs in Text-Guided Image Generation Models,15
2187,2187,Learning on Large-scale Text-attributed Graphs via Variational Inference,15
432,432,UNDERSTANDING HTML WITH LARGE LANGUAGE MODELS,15
4894,4894,BEVDistill: Cross-Modal BEV Distillation for Multi-View 3D Object Detection,15
4674,4674,3D generation on ImageNet,15
1734,1734,Lossy Image Compression with Conditional Diffusion Models,15
2817,2817,Equivariant Energy-Guided SDE for Inverse Molecular Design,14
3427,3427,Calibrating Sequence likelihood Improves Conditional Language Generation,14
776,776,A Kernel-Based View of Language Model Fine-Tuning,14
2828,2828,On the Convergence and Calibration of Deep Learning with Differential Privacy,14
406,406,On the Importance and Applicability of Pre-Training for Federated Learning,14
3406,3406,Masked Vision and Language Modeling for Multi-modal Representation Learning,14
485,485,Faster Last-iterate Convergence of Policy Optimization in Zero-Sum Markov Games,14
4026,4026,Pessimism in the Face of Confounders: Provably Efficient Offline Reinforcement Learning in Partially Observable Markov Decision Processes,14
3254,3254,Exploring Transformer Backbones for Heterogeneous Treatment Effect Estimation,14
2361,2361,Neural Networks Efficiently Learn Low-Dimensional Representations with SGD,14
2065,2065,MoDem: Accelerating Visual Model-Based Reinforcement Learning with Demonstrations,14
4864,4864,Sharpness-aware Quantization for Deep Neural Networks,14
1207,1207,Large language models are not zero-shot communicators,14
4417,4417,Learning Object-Language Alignments for Open-Vocabulary Object Detection,14
1450,1450,A Self-Attention Ansatz for Ab-initio Quantum Chemistry,14
4081,4081,Neural Diffusion Processes,14
1299,1299,TTN: A Domain-Shift Aware Batch Normalization in Test-Time Adaptation,14
1660,1660,Offline Reinforcement Learning via High-Fidelity Generative Behavior Modeling,13
2810,2810,Differentially private Bias-Term Only Fine-tuning of Foundation Models,13
3547,3547,Revisiting Pretraining Objectives for Tabular Deep Learning,13
4069,4069,Understanding Rare Spurious Correlations in Neural Networks,13
1773,1773,Gradient Gating for Deep Multi-Rate Learning on Graphs,13
1975,1975,The hidden uniform cluster prior in self-supervised learning,13
1421,1421,Bidirectional Language Models Are Also Few-shot Learners,13
205,205,Protein Sequence and Structure Co-Design with Equivariant Translation,13
3509,3509,DecAF: Joint Decoding of Answers and Logical Forms for Question Answering over Knowledge Bases,13
1883,1883,Visually-Augmented Language Modeling,13
1182,1182,SPIDER: Searching Personalized Neural Architecture for Federated Learning,13
1183,1183,On Gradient Descent Convergence beyond the Edge of Stability,13
2568,2568,TAN without a burn: Scaling laws of DP-SGD,13
1316,1316,Variational Prompt Tuning Improves Generalization of Vision-Language Models,13
540,540,Offline Q-learning on Diverse Multi-Task Data Both Scales And Generalizes,13
523,523,Decepticons: Corrupted Transformers Breach Privacy in Federated Learning for Language Models,13
1107,1107,Optimizing Bi-Encoder for Named Entity Recognition via Contrastive Learning,13
1065,1065,TEMPERA: Test-Time Prompt Editing via Reinforcement Learning,13
4003,4003,"Unified Algorithms for RL with Decision-Estimation Coefficients: No-Regret, PAC, and Reward-Free Learning",13
2156,2156,Embed to Control Partially Observed Systems: Representation Learning with Provable Sample Efficiency,13
446,446,FoveaTer: Foveated Transformer for Image Classification,13
3051,3051,Discovering Bugs in Vision Models using Off-the-shelf Image Generation and Captioning,12
212,212,RandProx: Primal-Dual Optimization Algorithms with Randomized Proximal Updates,12
2094,2094,3D UX-Net: A Large Kernel Volumetric ConvNet Modernizing Hierarchical Transformer for Medical Image Segmentation,12
2705,2705,Coarse-to-fine Knowledge Graph Domain Adaptation based on Distantly-supervised Iterative Training,12
1233,1233,Metadata Archaeology: Unearthing Data Subsets by Leveraging Training Dynamics,12
3230,3230,Hierarchical Sliced Wasserstein Distance,12
1767,1767,Global Explainability of GNNs via Logic Combination of Learned Concepts,12
2694,2694,Deep Patch Visual Odometry,12
525,525,Pyramidal Denoising Diffusion Probabilistic Models,12
3012,3012,Symbolic Physics Learner: Discovering governing equations via Monte Carlo tree search,12
3624,3624,A Model or 603 Exemplars: Towards Memory-Efficient Class-Incremental Learning,12
1897,1897,Incremental Learning of Structured Memory via Closed-Loop Transcription,12
2720,2720,Human alignment of neural network representations,12
3896,3896,Understanding Edge-of-Stability Training Dynamics with a Minimalist Example,12
4029,4029,Understanding Zero-shot Adversarial Robustness for Large-Scale Models,12
1599,1599,LexMAE: Lexicon-Bottlenecked Pretraining for Large-Scale Retrieval,12
2206,2206,Extreme Q-Learning: MaxEnt RL without Entropy,12
2784,2784,Confounder Identification-free Causal Visual Feature Learning,12
4383,4383,Test-Time Robust Personalization for Federated Learning,12
4300,4300,Understanding Why Generalized Reweighting Does Not Improve Over ERM,12
4631,4631,Provable Benefits of Representational Transfer in Reinforcement Learning,12
3263,3263,Your Contrastive Learning Is Secretly Doing Stochastic Neighbor Embedding,12
2277,2277,Multi-Epoch Matrix Factorization Mechanisms for Private Machine Learning,12
1451,1451,Probabilistically Robust Recourse: Navigating the Trade-offs between Costs and Robustness in Algorithmic Recourse,12
2884,2884,Batch Multivalid Conformal Prediction,12
2268,2268,"MobileViTv3: Mobile-Friendly Vision Transformer with Simple and Effective Fusion of Local, Global and Input Features",12
2185,2185,SAM as an Optimal Relaxation of Bayes,12
3925,3925,Joint rotational invariance and adversarial training of a dual-stream Transformer yields state of the art Brain-Score for Area V4,12
1376,1376,Exploring the Limits of Differentially Private Deep Learning with Group-wise Clipping,12
228,228,Certified Training: Small Boxes are All You Need,12
237,237,FiD-Light: Efficient and Effective Retrieval-Augmented Text Generation,12
3772,3772,GeneFace: Generalized and High-Fidelity Audio-Driven 3D Talking Face Synthesis,12
1087,1087,Accelerated Single-Call Methods for Constrained Min-Max Optimization,12
2441,2441,Graph Attention Retrospective,12
3543,3543,How to Exploit Hyperspherical Embeddings for Out-of-Distribution Detection?,12
4451,4451,Extreme Masking for Learning Instance and Distributed Visual Representations,12
3166,3166,Visual Reinforcement Learning with Self-Supervised 3D Representations,12
980,980,The Challenges of Exploration for Offline Reinforcement Learning,12
4443,4443,S-NeRF: Neural Radiance Fields for Street Views,12
2595,2595,Extremely Simple Activation Shaping for Out-of-Distribution Detection,12
1130,1130,Action Matching: A Variational Method for Learning Stochastic Dynamics from Samples,12
2504,2504,How to Train your HIPPO: State Space Models with Generalized Orthogonal Basis Projections,12
852,852,ESCHER: Eschewing Importance Sampling in Games by Computing a History Value Function to Estimate Regret,12
4549,4549,Prompt-Matched Semantic Segmentation,12
941,941,Disentangling with Biological Constraints: A Theory of Functional Cell Types,12
2456,2456,Sample-Efficient Reinforcement Learning by Breaking the Replay Ratio Barrier,12
310,310,How to fine-tune vision models with SGD,11
4507,4507,"MPCFORMER: FAST, PERFORMANT AND PRIVATE TRANSFORMER INFERENCE WITH MPC",11
3309,3309,A Data-Based Perspective on Transfer Learning,11
4038,4038,Dataless Knowledge Fusion by Merging Weights of Language Models,11
1840,1840,Data augmentation alone can improve adversarial training,11
2228,2228,Spectral Decomposition Representation for Reinforcement Learning,11
2303,2303,Deconstructing Distributions: A Pointwise Framework of Learning,11
4454,4454,DBQ-SSD: Dynamic Ball Query for Efficient 3D Object Detection,11
3063,3063,"Variance Reduction is an Antidote to Byzantines: Better Rates, Weaker Assumptions and Communication Compression as a Cherry on the Top",11
3079,3079,Graph Neural Networks for Link Prediction with Subgraph Sketching,11
2588,2588,MOAT: Alternating Mobile Convolution and Attention Brings Strong Vision Models,11
2804,2804,FFCV: Accelerating Training by Removing Data Bottlenecks,11
160,160,Concept-level Debugging of Part-Prototype Networks,11
288,288,FLIP: A Provable Defense Framework for Backdoor Mitigation in Federated Learning,11
1347,1347,Robust Scheduling with GFlowNets,11
2348,2348,Effects of Graph Convolutions in Multi-layer Networks,11
4188,4188,SeaFormer: Squeeze-enhanced Axial Transformer for Mobile Semantic Segmentation,11
1055,1055,Automatically Auditing Large Language Models via Discrete Optimization,11
2981,2981,MultiViz: Towards Visualizing and Understanding Multimodal Models,11
1810,1810,Shifts 2.0: Extending The Dataset of Real Distributional Shifts,11
2150,2150,MVP: Multi-task Supervised Pre-training for Natural Language Generation,11
4774,4774,Towards a Unified View on Visual Parameter-Efficient Transfer Learning,11
3812,3812,Path Regularization: A Convexity and Sparsity Inducing Regularization for Parallel ReLU Networks,11
1173,1173,Planning with Large Language Models for Code Generation,11
2349,2349,SimPer: Simple Self-Supervised Learning of Periodic Targets,11
4310,4310,Automated Data Augmentations for Graph Classification,11
4309,4309,Composing Ensembles of Pre-trained Models via Iterative Consensus,11
3968,3968,Sub-Task Decomposition Enables Learning in Sequence to Sequence Tasks,10
3345,3345,Policy Architectures for Compositional Generalization in Control,10
4917,4917,Pushing the Limits of Fewshot Anomaly Detection in Industry Vision: Graphcore,10
4679,4679,Selective Classification Via Neural Network Training Dynamics,10
3924,3924,3D-Aware Video Generation,10
416,416,HiCLIP: Contrastive Language-Image Pretraining with Hierarchy-aware Attention,10
4071,4071,Effective dimension of machine learning models,10
3691,3691,Voint Cloud: Multi-View Point Cloud Representation for 3D Understanding,10
4272,4272,Learning Symbolic Rules for Reasoning in Quasi-Natural Language,10
